Lp;Data_Codes;Country;Continent;Area;area_land;area_water;population;population_growth_rate_%;birth_rate;death_rate;net_migration_rate;
1;AFG;Afghanistan;Asia;65223;65223;0;39232003;2.26;34.79;12.08;-0.10;
2;ALB;Albania;Europe;28748;27398;1350;3101621;0.19;12.48;7.36;-3.22;
3;DZA;Algeria;Africa;2381740;2381740;0;44758398;1.27;17.84;4.33;-0.81;
4;ASM;American Samoa;Oceania;224;224;0;44620;-1.74;16.18;6.19;-27.36;
5;AND;Andorra;Europe;468;468;0;85468;-0.11;6.87;7.98;0.00;
6;AGO;Angola;Africa;1246700;1246700;0;35981281;3.34;41.42;7.80;-0.19;
7;ATG;Antigua and Barbuda;North America;443;443;0;101489;1.13;15.01;5.69;2.01;
8;ARG;Argentina;South America;2780400;2736690;43710;46621847;0.80;15.38;7.28;-0.08;
9;ARM;Armenia;Asia;29743;28203;1540;2989091;-0.40;10.80;9.54;-5.28;
10;AUS;Australia;Oceania;7741220;7682300;58920;26461166;1.19;12.23;6.76;6.39;
11;AUT;Austria;Europe;83871;82445;1426;8940860;0.31;9.39;9.86;3.54;
12;AZE;Azerbaijan;Asia;86600;82629;3971;10420515;0.63;13.20;6.92;0.00;
13;BHS;Bahamas;North America;13880;10010;3870;358508;0.80;14.49;6.47;0.00;
14;BHR;Bahrain;Asia;760;760;0;1553886;0.85;12.30;2.83;-0.99;
15;BGD;Bangladesh;Asia;148460;130170;18290;167184465;0.91;17.50;5.50;-2.88;
16;BRB;Barbados;North America;430;430;0;303431;0.24;10.73;8.03;-0.29;
17;BLR;Belarus;Europe;207600;202900;4700;9383853;-0.32;8.87;12.81;0.72;
18;BEL;Belgium;Europe;30528;30278;250;11913633;0.55;10.86;9.57;4.18;
19;BLZ;Belize;North America;22966;22806;160;419137;1.61;20.93;3.89;-0.95;
20;BEN;Benin;Africa;112622;110622;2000;14219908;3.31;40.72;7.82;0.24;
21;BTN;Bhutan;Asia;38394;38394;0;876181;0.96;15.61;6.05;0.00;
22;BOL;Bolivia;South America;1098581;1083301;15280;12186079;1.06;18.08;4.33;-0.96;
23;BIH;Bosnia and Herzegovina;Europe;51197;51187;10;3807764;-0.23;8.31;10.26;-0.38;
24;BWA;Botswana;Africa;58173;43173;15000;2417596;1.37;19.95;8.98;2.77;
25;BRA;Brazil;South America;8515770;8358140;157630;218689757;0.64;13.44;6.90;-0.19;
26;BRN;Brunei;Asia;5765;5265;500;484991;1.43;15.98;3.85;2.15;
27;BGR;Bulgaria;Europe;110879;108489;2390;6827736;-0.66;7.97;14.31;-0.29;
28;BFA;Burkina Faso;Africa;274200;273800;400;22489126;2.46;32.71;7.50;-0.59;
29;BDI;Burundi;Africa;27830;25680;2150;13162952;3.59;34.87;5.85;6.84;
30;CPV;Cabo Verde;Africa;4033;4033;0;603901;1.19;18.19;5.77;-0.57;
31;KHM;Cambodia;Asia;181035;176515;4520;16891245;1.04;18.75;5.70;-2.67;
32;CMR;Cameroon;Africa;47544;44814;2730;30135732;2.73;35.13;7.54;-0.30;
33;CAN;Canada;North America;9984670;9093507;891163;38516736;0.73;10.11;8.17;5.37;
34;CAF;Central African Republic;Africa;622984;622984;0;5552228;1.77;32.37;11.51;-3.16;
35;TCD;Chad;Africa;1284000;1259200;24800;18523165;3.05;39.85;9.21;-0.12;
36;CHL;Chile;South America;756102;743812;12290;18549457;0.63;12.57;6.58;0.32;
37;CHN;China;Asia;9596960;9326410;270550;1413142846;0.18;9.69;7.82;-0.11;
38;COL;Colombia;South America;1138910;1038700;100210;49336454;0.54;15.06;7.84;-1.85;
39;COM;Comoros;Africa;2235;2235;0;888378;1.34;22.06;6.49;-2.22;
40;COD;Congo, Democratic Republic of the;Africa;2344858;2267048;77810;111859928;3.13;39.64;7.74;-0.63;
41;COG;Congo, Republic of the;Africa;342000;341500;500;5677493;2.33;31.55;8.23;0.00;
42;CRI;Costa Rica;North America;51100;51060;40;5256612;0.98;14.03;4.97;0.76;
43;CIV;Cote d'Ivoire;Africa;322463;318003;4460;29344847;2.16;27.92;7.45;1.16;
44;HRV;Croatia;Europe;56594;55974;620;4169239;-0.47;8.60;12.98;-0.26;
45;CUB;Cuba;North America;110860;109820;1040;10985974;-0.19;9.99;9.37;-2.53;
46;CYP;Cyprus;Europe;9251;9241;10;1308120;1.00;10.37;6.99;6.65;
47;CZE;Czechia;Europe;78867;77247;1620;10706242;0.00;8.43;10.77;2.32;
48;DNK;Denmark;Europe;43094;42434;660;5946984;0.44;11.25;9.55;2.71;
49;DJI;Djibouti;Africa;23200;23180;20;976143;1.93;22.03;7.08;4.37;
50;DMA;Dominica;North America;751;751;0;74656;0.02;13.64;8.12;-5.30;
51;DOM;Dominican Republic;North America;48670;48320;350;10790744;0.88;17.80;6.31;-2.66;
52;ECU;Ecuador;South America;283561;276841;6720;17483326;1.10;16.19;5.18;0.00;
53;EGY;Egypt;Africa;1001450;995450;6000;109546720;1.59;20.48;4.32;-0.29;
54;SLV;El Salvador;North America;21041;20721;320;6602370;0.46;17.49;5.92;-7.01;
55;GNG;Equatorial Guinea;Africa;28051;28051;0;1737695;3.36;29.46;8.90;13.01;
56;ERI;Eritrea;Africa;117600;101000;16600;6274796;1.08;26.72;6.60;-9.38;
57;EST;Estonia;Europe;45228;42388;2840;1202762;-0.74;8.48;13.13;-2.73;
58;SWZ;Eswatini;Africa;17364;17364;;1130043;0.72;22.83;9.53;-6.07;
59;ETH;Ethiopia;Africa;1104300;1000000;104300;116462712;2.42;29.97;5.60;-0.19;
60;FJI;Fiji;Oceania;18274;18274;0;947760;0.42;16.25;6.44;-5.65;
61;FIN;Finland;Europe;338145;303815;34330;5614571;0.22;10.33;10.37;2.25;
62;FRA;France;Europe;643801;640427;3374;68521974;0.31;11.56;9.51;1.06;
63;GAB;Gabon;Africa;267667;257667;10000;2397368;2.39;25.89;5.59;3.59;
64;GMB;Gambia;Africa;11300;10120;1180;2468569;2.23;28.03;5.71;-0.04;
65;GEO;Georgia;Asia;69700;69700;0;4936390;0.01;10.79;10.76;0.06;
66;DEU;Germany;Europe;357022;348672;8350;84220184;-0.12;9.02;11.97;1.78;
67;GHA;Ghana;Africa;238533;227533;11000;33846114;2.19;28.04;5.99;-0.16;
68;GRC;Greece;Europe;131957;130647;1310;10497595;-0.35;7.52;12.02;1.03;
69;GRD;Grenada;North America;344;344;0;114299;0.29;13.61;8.34;-2.34;
70;GUM;Guam;Oceania;544;544;0;169330;0.13;18.33;6.08;-10.94;
71;GTM;Guatemala;North America;108889;107159;1730;17980803;1.54;21.88;4.89;-1.63;
72;GIN;Guinea;Africa;245857;245717;140;13607249;2.75;35.47;7.97;0.00;
